Gender;Age;Education;Irreligious;Believer;Cul.Rel.;Agnostic;SBNR;Atheist;Spir.Open;Christian;Muslim;Jewish;Buddhist;Hindu
1;28;6;1;4;4;3;4;1;4;4;4;4;4;4
2;58;5;4;1;5;4;2;4;2;1;4;4;2;2
2;31;6;4;1;5;3;4;4;4;1;4;4;4;4
2;25;4;4;1;5;4;4;4;4;1;4;4;4;4
2;27;6;3;2;5;2;4;4;4;1;4;4;4;4
2;58;5;2;3;5;2;1;5;2;4;4;4;4;4
2;25;5;;;;;;;;;;;;
2;39;6;2;3;3;3;2;3;2;4;4;4;2;4
2;24;6;2;4;2;3;4;2;4;2;4;4;4;4
2;23;6;2;4;2;1;3;3;4;3;4;4;4;4
2;27;2;2;3;3;1;2;2;2;3;4;4;4;4
2;43;2;1;3;2;2;1;1;1;3;4;4;2;4
1;25;6;;;;;;;;;;;;
2;45;6;3;2;1;4;4;4;4;1;4;4;4;4
2;22;2;3;3;4;1;2;3;1;4;4;4;4;4
2;29;6;2;4;1;2;4;3;4;2;4;4;4;4
1;25;5;1;4;4;2;4;2;4;4;4;4;4;4
1;27;2;2;3;3;1;3;3;3;3;4;4;4;4
2;22;6;3;2;3;1;3;4;4;3;4;4;3;3
2;27;6;4;1;2;4;4;4;4;4;1;4;4;4
2;29;6;4;1;1;4;4;4;1;2;4;4;4;1
1;24;6;3;4;2;3;4;4;4;3;4;4;4;4
2;19;2;2;3;3;2;2;3;1;3;4;4;4;4
2;28;6;1;4;5;1;4;2;4;2;4;4;4;4
1;27;6;2;3;3;2;3;2;3;3;4;4;4;4
1;26;6;2;3;2;4;3;2;4;3;4;4;4;4
2;25;6;2;3;1;2;4;2;4;2;4;4;4;4
2;28;6;3;3;2;4;4;4;4;3;4;4;4;4
2;19;1;3;3;4;2;4;;3;3;4;3;4;4
2;29;6;2;3;5;2;4;2;4;5;4;4;4;4
2;25;6;3;2;2;2;3;4;1;2;3;3;2;3
2;25;2;4;4;4;4;4;4;4;4;4;4;4;4
2;53;5;4;2;5;4;3;4;3;4;4;4;4;4
1;23;6;3;2;1;2;4;4;2;4;1;4;4;4
2;29;6;3;2;;2;3;3;3;2;4;3;4;4
2;30;6;1;4;1;3;4;3;4;1;4;4;4;4
2;33;5;1;4;3;3;3;1;4;3;4;4;4;4
2;27;5;2;4;2;2;4;2;3;3;4;4;4;4
1;26;3;2;3;5;1;5;2;4;4;4;4;4;4
2;35;6;2;3;1;1;2;3;2;2;4;4;4;4
2;33;6;2;4;2;3;4;3;4;3;4;4;4;4
1;31;6;;;;;;;;;;;;
2;28;6;2;3;2;2;4;2;4;2;4;4;4;4
2;27;5;;;;;;;;;;;;
2;33;3;2;2;2;3;4;4;1;2;4;4;4;4
2;30;6;4;1;4;4;4;4;4;1;4;4;4;4
2;24;6;;;;;;;;;;;;
2;58;5;2;3;3;2;3;2;3;4;4;4;4;4
2;53;3;;;;;;;;;;;;
1;28;6;1;4;4;2;4;2;3;4;4;4;3;4
1;23;6;1;4;2;1;3;2;4;3;4;4;4;4
1;54;1;4;1;2;5;4;4;2;1;4;4;4;4
1;26;6;2;4;4;2;4;1;4;4;4;4;4;4
2;28;5;2;4;2;5;4;3;2;4;4;4;4;4
1;28;6;1;4;4;4;4;2;4;4;4;4;4;4
2;27;6;3;3;2;2;4;4;4;2;4;4;4;4
2;19;2;2;2;5;5;1;4;2;2;4;4;4;4
2;28;5;1;4;4;2;4;1;4;4;4;4;4;4
1;27;5;;;;;;;;;;;;
2;60;4;1;4;2;1;4;1;4;4;4;4;4;4
2;41;3;4;1;2;3;2;4;2;1;4;4;4;4
2;52;6;1;4;4;5;4;5;4;4;4;4;4;4
2;46;3;4;2;2;3;4;4;3;1;4;4;4;4
1;35;6;1;4;3;1;1;4;1;3;4;4;4;4
2;41;6;4;2;2;2;3;4;1;2;4;4;4;4
1;34;5;1;4;4;5;4;1;4;4;4;4;4;4
2;24;5;;;;;;;;;;;;
2;31;6;2;4;2;1;3;3;5;2;4;4;4;4
2;55;3;2;3;5;2;4;2;4;2;4;4;4;4
2;34;6;4;2;1;4;4;4;4;2;4;4;4;4
2;46;5;2;3;2;1;2;4;3;1;4;4;4;4
2;25;4;2;4;3;2;4;2;4;4;4;4;4;4
2;18;2;4;2;2;4;4;4;2;2;4;4;4;4
2;49;5;4;1;1;4;4;4;4;4;4;4;4;4
1;23;6;4;1;2;2;2;4;3;4;1;4;4;4
1;18;2;5;2;3;3;4;4;4;1;4;4;4;4
1;36;6;1;4;4;1;2;1;3;4;4;4;4;4
1;26;2;1;4;4;4;4;1;4;4;4;4;4;4
1;57;6;4;2;1;2;4;4;3;1;4;4;4;4
2;24;2;1;4;2;4;4;1;4;4;4;4;4;4
2;26;6;4;1;1;4;4;4;4;1;4;4;4;4
1;29;6;4;2;2;2;4;4;4;1;4;4;4;4
1;52;6;1;4;3;2;4;2;4;3;4;4;4;4
2;37;5;4;1;1;4;4;4;2;1;4;4;4;4
1;63;6;3;2;1;3;4;4;2;1;4;4;4;4
2;52;6;4;1;4;4;4;4;3;1;4;4;4;4
2;31;5;4;4;1;3;4;4;4;2;4;4;4;4
2;42;6;1;4;2;2;4;2;2;2;4;4;4;4
2;28;4;3;2;2;1;2;4;3;2;4;4;4;4
2;24;6;4;1;2;3;4;4;1;4;4;4;4;4
2;57;6;3;3;2;5;4;4;4;2;4;4;4;4
2;25;6;5;5;2;1;5;5;4;1;4;4;4;4
2;27;4;1;4;3;2;4;2;4;4;4;4;4;4
2;21;2;1;4;4;1;4;1;4;2;4;4;4;4
2;28;5;1;4;2;4;4;3;4;4;4;4;4;4
2;22;6;1;4;2;2;4;2;4;2;4;4;4;4
1;24;6;1;4;4;2;4;1;4;4;4;4;4;4
1;49;5;1;4;5;4;4;1;4;4;4;4;4;4
2;26;6;3;2;2;2;4;4;4;1;4;4;4;4
2;24;4;1;4;3;4;4;1;4;4;4;4;4;4
2;59;6;1;4;2;1;4;4;4;3;4;4;4;4
2;56;5;;;;;;;;;;;;
1;49;6;2;4;4;1;4;2;4;4;4;4;4;4
2;26;6;3;2;5;4;4;4;4;1;4;4;4;4
1;26;6;1;4;2;1;4;2;4;4;4;4;4;4
2;32;1;;;;;;;;;;;;
2;56;5;3;3;2;1;3;2;4;2;4;4;4;4
1;31;6;;;;;;;;;;;;
2;18;2;1;4;3;5;5;5;5;4;4;4;4;4
2;21;2;1;1;3;4;4;4;3;4;2;4;4;4
2;48;5;1;4;5;4;4;1;4;4;4;4;4;4
2;25;6;2;3;2;1;4;4;4;2;3;4;4;4
2;38;5;2;3;3;1;3;2;3;2;4;4;4;4
2;24;2;2;2;5;2;2;4;4;2;4;4;4;4
1;35;4;2;3;4;2;4;2;4;3;4;4;4;4
1;65;3;;;;;;;;;;;;
2;26;2;4;4;1;2;2;4;3;2;4;4;4;4
2;70;6;4;1;4;4;4;4;3;1;4;4;4;4
2;30;5;3;1;1;2;2;4;2;2;2;4;4;4
2;61;6;1;4;2;2;3;1;4;4;4;4;4;4
2;28;5;4;1;4;4;4;4;4;1;4;4;4;4
1;19;2;1;4;4;5;4;1;4;3;4;4;4;4
1;42;6;1;4;4;4;4;1;4;4;4;4;4;4
1;60;6;1;4;4;2;4;1;4;4;4;4;4;4
1;;4;;;;;;;;;;;;
2;64;6;4;1;4;4;4;4;4;4;4;2;1;4
1;31;6;2;3;2;4;4;3;4;2;4;4;4;4
2;18;2;2;4;2;4;4;1;4;4;4;4;4;4
2;27;6;;;;;;;;;;;;
1;23;5;;;;;;;;;;;;
2;54;5;4;2;1;2;3;4;4;2;4;4;4;4
1;51;6;1;4;4;4;4;1;4;4;4;4;4;4
1;27;6;1;4;4;4;4;1;4;4;4;4;4;4
2;27;5;3;1;4;4;1;4;3;4;4;4;4;4
2;32;4;2;4;1;2;5;2;4;2;4;4;4;4
2;36;6;1;4;3;4;3;1;3;4;4;4;4;4
2;27;6;1;4;3;4;4;1;4;4;4;4;4;4
1;26;6;1;4;4;4;4;1;4;4;4;4;4;4
1;19;1;1;4;4;4;3;1;3;4;4;4;4;4
2;28;6;3;2;2;5;4;4;4;1;4;4;4;4
2;24;6;4;2;2;4;4;4;4;2;4;4;4;4
2;42;5;2;5;2;2;2;4;2;2;4;4;4;4
2;18;2;1;5;2;5;4;5;4;2;4;4;4;4
2;26;6;1;4;4;4;4;2;4;3;4;4;4;4
1;34;6;2;2;2;3;2;2;3;2;2;2;3;3
2;26;6;4;4;4;1;4;4;4;4;4;4;4;4
2;24;2;4;1;4;4;4;4;1;1;4;4;4;4
1;30;6;4;1;4;4;4;4;2;1;4;4;4;4
1;31;6;;;;;;;;;;;;
2;20;6;4;2;1;4;4;4;4;1;4;4;4;4
2;48;5;3;3;4;2;4;4;4;2;4;4;4;4
1;35;6;4;1;4;4;4;4;4;1;4;4;4;4
1;69;6;1;4;5;5;2;1;2;5;4;4;5;4
2;36;6;4;1;2;4;4;4;4;1;4;4;4;4
2;27;6;2;4;4;1;4;4;4;4;4;4;4;4
1;28;6;1;4;4;3;4;1;4;4;4;4;4;4
2;34;3;4;2;5;2;3;3;2;1;4;4;4;4
2;42;6;2;4;4;1;2;1;2;4;4;4;4;4
1;54;2;;;;;;;;;;;;
2;47;6;1;4;3;3;4;3;4;4;4;4;4;4
2;28;6;2;1;2;2;1;4;1;3;4;4;3;4
2;22;2;;;;;;;;;;;;
2;29;6;2;4;2;4;2;1;2;4;4;4;4;4
1;39;3;4;1;4;4;4;4;1;1;4;4;4;4
2;28;6;1;4;1;2;3;2;5;2;4;4;4;4
2;55;3;4;2;1;3;3;4;2;1;4;4;4;4
2;24;6;5;5;2;5;2;4;4;2;4;4;4;4
2;63;6;;;;;;;;;;;;
2;47;3;3;5;2;2;2;3;2;2;4;4;4;4
1;29;6;1;4;3;4;4;1;4;4;4;4;4;4
2;35;6;;;;;;;;;;;;
2;51;5;4;3;5;2;4;4;4;1;4;4;4;4
2;75;5;4;1;4;3;4;4;4;1;4;4;4;4
1;25;6;1;4;2;3;4;2;4;3;4;4;4;4
2;29;6;1;4;2;2;4;3;4;3;4;4;4;4
2;25;5;2;3;5;2;2;4;4;2;4;4;4;4
1;64;4;2;4;3;1;2;2;2;2;4;4;4;4
1;51;5;4;1;4;4;3;4;3;1;4;4;4;4
2;31;6;1;4;5;1;4;3;4;4;4;4;4;4
1;57;6;2;4;3;4;4;1;3;3;4;4;4;4
2;27;6;1;4;3;2;4;3;4;4;4;4;4;4
2;32;5;2;2;2;5;4;4;3;2;4;4;4;4
2;42;6;2;4;2;2;3;1;4;4;4;4;4;4
1;19;2;2;3;2;4;4;3;4;2;4;4;4;4
2;44;6;4;2;2;3;4;4;2;1;4;4;4;4
1;22;6;1;3;1;1;4;2;4;2;4;4;4;4
2;25;6;1;4;4;3;4;1;4;4;4;4;4;4
2;28;6;1;5;2;1;4;3;4;2;4;4;4;4
2;30;5;3;1;2;3;3;4;3;4;2;4;4;4
2;30;6;3;2;2;3;5;4;3;2;4;4;4;4
1;36;6;2;3;1;2;4;4;4;1;4;4;4;4
1;30;1;1;4;4;4;4;1;4;4;4;4;4;4
1;31;5;1;4;2;2;4;2;3;4;4;4;4;4
2;27;6;1;3;5;2;2;2;2;3;4;4;4;4
2;54;4;4;2;1;2;5;5;5;1;5;5;5;5
2;57;5;2;4;5;1;1;1;4;1;4;4;4;4
2;19;2;2;3;1;2;4;4;4;1;4;4;4;4
2;50;3;2;2;5;2;1;1;2;2;4;4;4;4
2;59;4;;;;;;;;;;;;
1;56;2;2;4;2;4;3;2;4;2;4;4;4;4
2;28;5;2;3;2;1;1;2;3;3;4;4;4;4
1;28;6;1;4;4;4;4;1;4;4;4;4;4;4
1;30;6;1;4;2;4;4;1;4;4;4;4;4;4
1;36;5;1;4;4;1;4;1;4;4;4;4;4;4
1;24;6;4;1;3;4;4;4;2;1;4;4;4;4
2;27;6;1;4;4;4;4;1;4;4;4;4;4;4
1;59;3;5;2;2;5;5;5;5;2;4;4;4;4
2;32;6;3;2;2;2;2;4;3;2;4;4;4;4
2;64;3;2;3;2;1;2;3;3;2;4;4;4;4
2;24;6;;;;;;;;;;;;
2;22;5;;;;;;;;;;;;
2;27;6;1;4;4;1;4;2;4;4;4;4;4;4
2;47;5;1;3;3;1;4;2;4;3;4;4;4;4
2;20;2;;;;;;;;;;;;
2;43;6;3;3;2;2;3;4;3;2;4;4;4;4
2;25;5;3;2;2;1;2;4;1;2;4;4;4;4
2;28;5;;;;;;;;;;;;
2;35;5;2;2;2;2;2;4;2;1;4;4;4;4
2;24;5;3;3;2;4;4;4;4;2;4;4;4;4
1;31;6;1;4;4;4;4;1;4;4;4;2;4;4
2;28;5;;;;;;;;;;;;
2;22;2;4;1;5;4;4;4;4;4;1;4;4;4
2;24;5;2;4;2;3;4;5;4;5;4;4;4;4
2;32;6;2;3;2;1;4;4;4;2;4;4;4;4
1;32;6;1;4;1;3;4;4;4;4;4;4;4;4
2;34;6;4;1;4;4;4;4;4;1;4;4;4;4
2;42;6;4;1;2;3;4;4;1;1;4;4;4;4
2;36;6;3;2;2;3;3;4;3;2;4;4;4;4
2;59;5;4;2;2;4;2;4;2;2;4;4;4;4
2;27;5;;;;;;;;;;;;
2;31;6;3;3;2;2;3;4;3;2;4;4;4;4
2;63;5;4;2;2;2;4;4;4;1;4;4;4;4
2;28;6;1;4;2;5;2;4;2;4;4;4;4;4
2;35;5;3;5;5;3;2;4;2;3;4;4;4;4
2;25;6;3;2;1;2;4;3;4;2;4;4;4;4
2;28;6;3;2;2;2;4;3;4;3;4;4;4;4
2;32;6;2;4;3;2;3;3;4;2;4;4;4;4
2;26;5;2;4;4;1;3;2;4;4;4;4;4;4
2;55;3;4;4;4;4;4;4;4;1;4;4;4;4
2;33;6;2;2;4;3;1;2;1;4;4;4;4;4
2;30;5;;;;;;;;;;;;
2;28;6;3;2;2;3;4;4;4;1;4;4;4;4
2;25;6;1;3;3;1;4;4;4;3;4;4;4;4
2;25;6;2;4;4;1;4;3;4;4;4;4;4;4
2;31;6;1;4;2;1;4;3;4;3;4;4;4;4
1;64;3;3;3;4;5;2;5;2;2;4;4;4;4
2;32;6;;;;;;;;;;;;
2;33;6;2;3;2;2;2;3;3;2;4;4;4;4
2;52;6;2;3;2;3;2;3;3;2;4;4;4;4
2;26;6;2;3;2;2;4;4;4;4;4;4;4;4
2;29;5;4;3;1;4;4;4;4;1;4;4;4;4
2;38;6;1;4;4;4;4;1;4;4;4;4;4;4
2;34;6;2;2;2;2;4;4;4;2;4;4;4;4
2;28;3;1;4;3;3;4;1;4;3;4;4;4;4
2;32;6;3;3;2;4;3;2;4;2;4;4;4;4
1;40;4;1;4;3;4;3;1;2;4;4;4;4;4
2;27;5;3;2;2;3;4;4;4;2;4;4;4;4
2;50;5;3;2;1;2;4;4;4;2;4;4;4;4
2;31;6;2;4;1;3;4;1;4;2;4;4;4;4
1;23;5;1;4;2;2;3;5;4;3;4;4;4;4
2;35;6;1;4;2;2;4;3;4;4;4;4;4;4
1;31;6;2;3;2;2;4;2;3;2;4;4;4;4
1;70;6;4;1;4;4;4;4;2;1;4;4;4;4
1;25;5;2;3;2;1;3;3;4;2;4;4;4;4
1;26;5;1;4;4;4;4;1;4;4;4;4;4;4
2;68;4;;;;;;;;;;;;
2;18;2;2;4;2;2;4;2;4;4;4;4;4;4
2;61;6;1;4;4;1;4;1;4;4;4;4;4;4
2;35;5;4;1;2;4;4;4;2;4;1;4;4;4
2;49;5;4;2;2;4;4;4;4;2;4;4;4;4
2;26;5;2;3;4;1;4;2;4;2;4;4;4;4
2;18;2;1;2;2;2;4;4;3;3;4;4;4;4
2;28;6;4;1;4;4;4;4;2;1;3;4;4;4
2;26;5;2;2;2;1;2;4;4;2;3;3;3;3
2;19;2;1;4;2;1;4;5;4;4;4;4;4;4
2;30;5;1;4;4;2;3;1;2;4;4;4;4;4
2;21;2;;;;;;;;;;;;
1;28;6;5;4;1;5;4;1;4;5;4;4;4;4
2;42;5;1;4;5;4;4;1;4;4;4;4;4;4
1;29;6;1;4;2;2;4;1;4;2;4;4;4;4
2;19;1;3;2;4;5;5;4;5;2;4;4;4;4
1;54;3;4;1;4;4;4;4;4;1;4;4;4;4
1;47;3;1;4;4;4;4;1;4;4;4;4;4;4
2;24;6;;;;;;;;;;;;
1;50;6;2;5;2;2;2;3;4;2;4;4;4;4
2;58;4;2;2;2;5;4;4;5;1;4;4;4;4
2;29;5;1;4;2;2;4;2;4;1;4;4;4;4
2;32;6;1;4;3;2;3;1;3;4;4;4;4;4
1;20;1;3;2;2;2;3;5;4;1;4;4;4;4
2;21;5;1;4;1;1;4;1;2;3;4;4;4;4
2;43;6;1;4;4;4;4;1;4;4;4;4;4;4
2;37;6;2;3;5;2;4;3;4;1;4;4;4;4
2;28;5;2;3;2;2;3;4;4;2;4;4;4;4
2;30;6;1;4;2;5;4;3;4;4;4;4;4;4
1;27;6;5;2;5;5;4;;;;;;;
1;23;2;3;2;4;3;2;4;1;4;4;4;4;4
2;;6;;;;;;;;;;;;
1;61;6;1;4;4;4;4;1;4;4;4;4;1;4
1;26;6;1;4;5;2;2;3;3;3;4;4;4;4
1;20;2;2;3;2;1;4;2;4;1;4;4;4;4
1;25;5;1;4;2;3;4;2;4;2;4;4;4;4
2;55;5;4;1;3;4;4;4;5;1;4;4;4;4
1;36;6;1;4;4;1;4;1;4;4;4;4;4;4
1;29;6;1;4;2;2;4;1;4;4;4;4;4;4
2;39;3;2;3;2;1;5;2;4;2;4;4;4;4
2;26;6;2;3;1;4;4;2;4;2;4;4;4;4
2;26;6;1;4;3;4;4;1;4;4;4;4;4;4
2;48;5;2;3;2;2;3;3;4;2;4;4;4;4
2;55;4;1;4;1;2;4;1;4;4;4;4;4;4
2;29;6;1;4;2;5;4;2;4;3;4;4;4;4
1;27;6;4;4;1;4;4;4;4;2;4;4;4;4
2;26;6;2;3;4;5;2;3;1;4;4;4;4;4
2;23;5;3;2;1;4;1;4;1;2;4;4;4;4
2;25;5;5;5;5;5;5;5;5;4;4;4;4;4
2;30;6;1;2;1;1;3;2;3;2;4;4;4;4
1;30;6;1;4;4;4;4;1;4;4;4;4;4;4
2;26;5;2;4;2;2;3;1;4;2;4;4;4;4
2;61;4;2;4;3;2;2;2;3;2;4;4;4;4
2;34;6;4;1;2;4;4;4;3;4;1;4;4;4
2;29;5;4;2;2;1;1;4;2;1;4;4;4;4
2;44;6;4;1;4;4;4;4;2;4;1;4;4;4
2;26;6;1;4;3;4;4;1;4;4;4;4;4;4
1;33;6;2;4;2;4;4;1;4;4;4;4;4;4
2;29;6;2;4;4;4;4;1;4;4;4;4;4;4
1;26;6;2;3;3;2;3;2;4;2;4;4;4;4
1;29;2;1;4;4;4;4;1;4;4;4;4;4;4
2;41;5;1;4;4;2;4;1;3;4;4;4;4;4
1;62;6;1;4;4;2;4;1;4;4;4;4;4;4
2;48;5;2;4;5;1;4;1;4;4;4;4;4;4
2;26;5;1;4;2;2;3;2;4;4;4;4;4;4
2;25;4;1;4;4;5;3;3;2;4;4;4;4;4
2;25;5;4;1;1;4;4;4;2;1;4;4;4;4
1;44;2;4;1;4;4;4;4;4;1;4;4;4;4
2;23;5;1;4;4;1;2;3;4;4;4;4;4;4
2;19;1;2;4;2;2;3;3;3;2;4;4;4;4
2;31;6;5;5;2;2;5;4;3;2;4;4;4;4
2;35;6;4;1;1;4;4;4;4;4;1;4;4;4
2;27;5;4;2;1;4;4;4;4;1;4;4;4;4
2;30;6;;;;;;;;;;;;
2;30;5;3;2;2;3;2;4;3;5;4;4;4;4
2;31;6;1;4;4;3;5;1;5;4;4;4;4;4
1;32;4;2;3;2;1;4;4;4;1;4;4;4;4
1;29;6;;;;;;;;;;;;
2;28;6;1;4;2;1;4;1;4;4;4;4;4;4
1;23;6;2;4;1;4;4;1;4;2;4;4;4;4
2;31;6;2;4;5;3;2;3;2;4;4;4;4;4
2;31;6;3;2;4;3;1;4;2;3;4;4;4;4
2;27;6;4;1;4;4;4;4;3;1;4;4;4;4
1;24;2;;;;;;;;;;;;
1;19;2;3;2;2;2;4;4;4;1;4;4;4;4
1;56;6;4;2;1;2;4;4;4;1;4;4;4;4
2;29;6;;;;;;;;;;;;
1;72;1;1;4;4;1;4;5;4;4;4;4;4;4
2;26;3;;;;;;;;;;;;
2;23;6;1;3;2;5;4;2;4;4;4;4;4;4
2;21;2;2;3;2;3;3;2;3;4;4;4;4;4
2;23;6;2;4;2;2;2;2;4;3;4;4;4;4
2;29;6;2;1;2;4;4;2;4;2;4;4;4;4
2;29;6;1;4;4;3;4;2;4;3;4;4;4;4
2;19;2;3;3;1;2;4;3;3;1;4;4;4;4
1;28;6;2;4;2;1;4;3;4;2;4;4;4;4
1;41;4;2;4;2;1;3;2;4;2;4;4;4;4
2;28;6;4;1;3;4;4;4;4;1;4;4;4;4
2;28;6;1;4;4;4;4;1;4;4;4;4;4;4
2;61;5;3;2;3;2;2;4;2;1;4;4;4;4
2;29;6;1;4;3;1;3;5;2;4;4;4;4;4
1;35;6;1;4;5;1;4;1;2;4;4;4;4;4
2;29;6;2;4;2;1;2;4;4;4;4;4;4;4
2;26;5;4;1;1;4;4;4;2;1;4;4;4;4
1;35;6;;;;;;;;;;;;
2;40;6;3;3;3;3;3;3;2;2;4;4;4;4
2;32;5;4;1;4;4;4;4;4;1;4;4;4;4
1;29;6;2;2;5;1;4;3;4;2;4;4;4;4
2;30;6;2;4;1;4;4;1;4;2;4;4;4;4
2;38;4;2;2;2;1;2;2;2;2;3;3;3;3
1;34;6;;;;;;;;;;;;
2;50;4;3;2;2;3;4;4;4;1;4;4;4;4
2;27;5;2;2;5;2;2;3;3;5;4;4;4;4
2;51;6;1;4;3;2;4;1;3;3;4;4;4;4
1;30;6;2;4;4;2;4;2;3;4;4;4;4;4
1;27;5;3;3;2;1;4;3;3;2;4;4;3;4
2;31;6;4;2;1;3;2;3;2;1;5;5;5;5
1;27;2;;;;;;;;;;;;
1;22;4;1;4;5;2;4;2;4;4;4;4;4;4
1;30;6;1;4;1;4;4;1;4;2;4;4;4;4
1;23;5;2;2;2;2;2;2;2;1;5;5;5;5
2;27;6;1;4;1;2;4;1;4;4;4;4;4;4
1;61;4;;;;;;;;;;;;
2;18;2;2;4;2;2;1;3;2;3;4;4;3;4
2;32;1;3;3;3;3;1;4;1;5;4;4;4;4
1;30;6;4;1;3;4;4;4;4;1;4;4;4;4
2;45;6;4;1;4;4;4;4;3;1;4;4;4;4
1;52;5;1;4;2;4;4;1;4;4;4;4;4;4
2;27;6;4;1;2;4;4;4;3;1;4;4;4;4
1;65;3;4;1;4;4;1;4;2;4;4;4;1;4
1;28;5;1;4;4;4;4;1;4;4;4;4;4;4
2;24;6;1;4;3;4;4;1;4;3;4;4;4;4
2;26;5;1;4;2;5;4;1;4;2;4;4;4;4
2;50;3;4;2;5;4;3;4;2;1;4;4;4;4
2;18;2;4;1;3;4;4;4;2;1;4;4;4;4
1;42;6;3;3;3;1;4;4;4;2;4;4;4;4
2;20;2;;;;;;;;;;;;
1;26;6;2;5;2;2;4;2;4;1;4;4;4;4
2;27;6;2;4;2;2;4;4;4;3;4;4;4;4
1;35;4;3;2;5;3;4;3;4;2;4;4;4;4
2;26;6;1;2;4;2;1;3;2;4;4;4;4;4
1;23;2;2;3;1;4;4;3;4;2;4;4;4;4
1;27;6;1;4;4;1;2;3;4;4;4;4;4;4
2;49;6;4;1;4;4;4;4;2;4;4;4;4;4
2;32;6;3;3;2;2;2;3;3;2;4;4;4;4
2;29;6;;;;;;;;;;;;
1;74;6;4;1;3;4;3;4;3;1;4;4;4;4
2;39;6;3;3;1;5;4;3;4;2;4;4;4;4
1;36;6;1;4;4;3;3;1;3;3;4;4;4;4
2;28;6;3;2;2;1;3;4;4;3;4;4;4;4
1;45;5;2;3;2;1;4;3;4;5;4;4;4;4
2;25;5;1;4;2;2;3;2;4;3;4;4;4;4
2;44;5;1;4;3;1;4;2;4;3;4;4;4;4
2;29;5;3;2;5;2;5;4;4;2;4;4;4;4
2;28;6;2;3;2;1;4;4;2;2;4;4;4;4
2;28;6;1;4;1;4;4;1;4;2;4;4;4;4
2;25;4;;;;;;;;;;;;
2;32;5;3;2;2;2;4;3;3;1;4;4;4;4
2;28;6;4;1;2;4;4;4;4;1;4;4;4;4
2;26;6;5;5;1;1;5;5;5;1;4;4;4;4
2;47;6;2;3;3;2;3;2;4;3;4;4;4;4
1;29;6;1;4;2;4;4;1;4;4;4;4;4;4
2;26;6;4;2;5;5;3;4;3;2;4;4;4;4
1;29;6;1;4;4;2;4;1;4;4;4;4;4;4
2;22;6;1;4;2;2;4;2;4;3;4;4;4;4
2;23;5;;;;;;;;;;;;
2;25;6;2;4;2;2;4;2;4;3;4;4;4;4
2;63;4;3;3;5;5;2;4;3;5;4;4;1;4
2;49;3;4;1;5;1;4;4;4;1;4;4;4;4
2;24;6;2;3;1;1;4;3;4;2;4;4;4;4
1;67;5;;;;;;;;;;;;
2;34;6;2;4;2;2;4;2;4;3;4;4;4;4
2;30;6;2;3;1;2;4;3;4;1;4;4;4;4
2;31;5;2;5;4;3;2;4;2;4;4;4;4;4
2;27;5;2;3;5;5;4;2;4;2;4;4;4;4
1;25;5;1;4;3;4;4;1;4;4;4;4;4;4
2;68;4;4;1;1;4;4;4;2;1;4;4;5;5
2;41;4;4;2;4;3;4;4;4;1;4;4;4;4
2;28;6;4;1;2;4;4;4;4;1;4;4;4;4
2;33;6;2;3;1;5;4;3;4;2;4;4;4;4
